"","papers","ifact","years"
"570",3.4,4.4,7.05882352941176
"571",3.4,4.6,7.05882352941176
"572",3.4,4.8,7.05882352941176
"573",3.4,5,7.05882352941176
"574",3.4,5.2,7.05882352941176
"575",3.4,5.4,7.05882352941176
"576",3.4,5.6,7.05882352941176
"577",3.4,5.8,7.05882352941176
"578",3.4,6,7.05882352941176
"579",3.4,6.2,7.05882352941176
"580",3.4,6.4,7.05882352941176
"581",3.4,6.6,7.05882352941176
"582",3.4,6.8,7.05882352941176
"583",3.4,7,5.88235294117647
"584",3.4,7.2,5.88235294117647
"585",3.4,7.4,5.88235294117647
"586",3.4,7.6,5.88235294117647
"587",3.4,7.8,5.88235294117647
"588",3.4,8,5.88235294117647
"589",3.4,8.2,5.88235294117647
"590",3.4,8.4,5.88235294117647
"591",3.4,8.6,5.88235294117647
"592",3.4,8.8,5.88235294117647
"593",3.4,9,5.88235294117647
"594",3.4,9.2,5.88235294117647
"595",3.4,9.4,5.88235294117647
"596",3.4,9.6,5.88235294117647
"597",3.4,9.8,5.88235294117647
"598",3.4,10,5.88235294117647
"599",3.6,1,6.66666666666667
"600",3.6,1.2,6.66666666666667
"601",3.6,1.4,6.66666666666667
"602",3.6,1.6,6.66666666666667
"603",3.6,1.8,6.66666666666667
"604",3.6,2,6.66666666666667
"605",3.6,2.2,6.66666666666667
"606",3.6,2.4,6.66666666666667
"607",3.6,2.6,6.66666666666667
"608",3.6,2.8,6.66666666666667
"609",3.6,3,6.66666666666667
"610",3.6,3.2,6.66666666666667
"611",3.6,3.4,6.66666666666667
"612",3.6,3.6,6.66666666666667
"613",3.6,3.8,6.66666666666667
"614",3.6,4,6.66666666666667
"615",3.6,4.2,6.66666666666667
"616",3.6,4.4,6.66666666666667
"617",3.6,4.6,6.66666666666667
"618",3.6,4.8,6.66666666666667
"619",3.6,5,6.66666666666667
"620",3.6,5.2,6.66666666666667
"621",3.6,5.4,6.66666666666667
"622",3.6,5.6,6.66666666666667
"623",3.6,5.8,6.66666666666667
"624",3.6,6,6.66666666666667
"625",3.6,6.2,6.66666666666667
"626",3.6,6.4,6.66666666666667
"627",3.6,6.6,6.66666666666667
"628",3.6,6.8,6.66666666666667
"629",3.6,7,6.66666666666667
"630",3.6,7.2,5.55555555555555
"631",3.6,7.4,5.55555555555555
"632",3.6,7.6,5.55555555555555
"633",3.6,7.8,5.55555555555555
"634",3.6,8,5.55555555555555
"635",3.6,8.2,5.55555555555555
"636",3.6,8.4,5.55555555555555
"637",3.6,8.6,5.55555555555555
"638",3.6,8.8,5.55555555555555
"639",3.6,9,5.55555555555555
"640",3.6,9.2,5.55555555555555
"641",3.6,9.4,5.55555555555555
"642",3.6,9.6,5.55555555555555
"643",3.6,9.8,5.55555555555555
"644",3.6,10,5.55555555555555
"645",3.8,1,6.31578947368421
"646",3.8,1.2,6.31578947368421
"647",3.8,1.4,6.31578947368421
"648",3.8,1.6,6.31578947368421
"649",3.8,1.8,6.31578947368421
"650",3.8,2,6.31578947368421
"651",3.8,2.2,6.31578947368421
"652",3.8,2.4,6.31578947368421
"653",3.8,2.6,6.31578947368421
"654",3.8,2.8,6.31578947368421
"655",3.8,3,6.31578947368421
"656",3.8,3.2,6.31578947368421
"657",3.8,3.4,6.31578947368421
"658",3.8,3.6,6.31578947368421
"659",3.8,3.8,6.31578947368421
"660",3.8,4,6.31578947368421
"661",3.8,4.2,6.31578947368421
"662",3.8,4.4,6.31578947368421
"663",3.8,4.6,6.31578947368421
"664",3.8,4.8,6.31578947368421
"665",3.8,5,6.31578947368421
"666",3.8,5.2,6.31578947368421
"667",3.8,5.4,6.31578947368421
"668",3.8,5.6,6.31578947368421
"669",3.8,5.8,6.31578947368421
"670",3.8,6,6.31578947368421
"671",3.8,6.2,6.31578947368421
"672",3.8,6.4,6.31578947368421
"673",3.8,6.6,6.31578947368421
"674",3.8,6.8,6.31578947368421
"675",3.8,7,6.31578947368421
"676",3.8,7.2,6.31578947368421
"677",3.8,7.4,6.31578947368421
"678",3.8,7.6,5.26315789473684
"679",3.8,7.8,5.26315789473684
"680",3.8,8,5.26315789473684
"681",3.8,8.2,5.26315789473684
"682",3.8,8.4,5.26315789473684
"683",3.8,8.6,5.26315789473684
"684",3.8,8.8,5.26315789473684
"685",3.8,9,5.26315789473684
"686",3.8,9.2,5.26315789473684
"687",3.8,9.4,5.26315789473684
"688",3.8,9.6,5.26315789473684
"689",3.8,9.8,5.26315789473684
"690",3.8,10,5.26315789473684
"691",4,1,6.25
"692",4,1.2,6.25
"693",4,1.4,6.25
"694",4,1.6,6.25
"695",4,1.8,6.25
"696",4,2,6.25
"697",4,2.2,6.25
"698",4,2.4,6.25
"699",4,2.6,6.25
"700",4,2.8,6.25
"701",4,3,6.25
"702",4,3.2,6.25
"703",4,3.4,6.25
"704",4,3.6,6.25
"705",4,3.8,6.25
"706",4,4,6.25
"707",4,4.2,6.25
"708",4,4.4,6.25
"709",4,4.6,6.25
"710",4,4.8,6.25
"711",4,5,6.25
"712",4,5.2,6.25
"713",4,5.4,6.25
"714",4,5.6,6.25
"715",4,5.8,6.25
"716",4,6,6.25
"717",4,6.2,5
"718",4,6.4,5
"719",4,6.6,5
"720",4,6.8,5
"721",4,7,5
"722",4,7.2,5
"723",4,7.4,5
"724",4,7.6,5
"725",4,7.8,5
"726",4,8,5
"727",4,8.2,5
"728",4,8.4,5
"729",4,8.6,5
"730",4,8.8,5
"731",4,9,5
"732",4,9.2,5
"733",4,9.4,5
"734",4,9.6,5
"735",4,9.8,5
"736",4,10,5
"737",4.2,1,5.95238095238095
"738",4.2,1.2,5.95238095238095
"739",4.2,1.4,5.95238095238095
"740",4.2,1.6,5.95238095238095
"741",4.2,1.8,5.95238095238095
"742",4.2,2,5.95238095238095
"743",4.2,2.2,5.95238095238095
"744",4.2,2.4,5.95238095238095
"745",4.2,2.6,5.95238095238095
"746",4.2,2.8,5.95238095238095
"747",4.2,3,5.95238095238095
"748",4.2,3.2,5.95238095238095
"749",4.2,3.4,5.95238095238095
"750",4.2,3.6,5.95238095238095
"751",4.2,3.8,5.95238095238095
"752",4.2,4,5.95238095238095
"753",4.2,4.2,5.95238095238095
"754",4.2,4.4,5.95238095238095
"755",4.2,4.6,5.95238095238095
"756",4.2,4.8,5.95238095238095
"757",4.2,5,5.95238095238095
"758",4.2,5.2,5.95238095238095
"759",4.2,5.4,5.95238095238095
"760",4.2,5.6,5.95238095238095
"761",4.2,5.8,5.95238095238095
"762",4.2,6,5.95238095238095
"763",4.2,6.2,5.95238095238095
"764",4.2,6.4,4.76190476190476
"765",4.2,6.6,4.76190476190476
"766",4.2,6.8,4.76190476190476
"767",4.2,7,4.76190476190476
"768",4.2,7.2,4.76190476190476
"769",4.2,7.4,4.76190476190476
"770",4.2,7.6,4.76190476190476
"771",4.2,7.8,4.76190476190476
"772",4.2,8,4.76190476190476
"773",4.2,8.2,4.76190476190476
"774",4.2,8.4,4.76190476190476
"775",4.2,8.6,4.76190476190476
"776",4.2,8.8,4.76190476190476
"777",4.2,9,4.76190476190476
"778",4.2,9.2,4.76190476190476
"779",4.2,9.4,4.76190476190476
"780",4.2,9.6,4.76190476190476
"781",4.2,9.8,4.76190476190476
"782",4.2,10,4.76190476190476
"783",4.4,1,5.68181818181818
"784",4.4,1.2,5.68181818181818
"785",4.4,1.4,5.68181818181818
"786",4.4,1.6,5.68181818181818
"787",4.4,1.8,5.68181818181818
"788",4.4,2,5.68181818181818
"789",4.4,2.2,5.68181818181818
"790",4.4,2.4,5.68181818181818
"791",4.4,2.6,5.68181818181818
"792",4.4,2.8,5.68181818181818
"793",4.4,3,5.68181818181818
"794",4.4,3.2,5.68181818181818
"795",4.4,3.4,5.68181818181818
"796",4.4,3.6,5.68181818181818
"797",4.4,3.8,5.68181818181818
"798",4.4,4,5.68181818181818
"799",4.4,4.2,5.68181818181818
"800",4.4,4.4,5.68181818181818
"801",4.4,4.6,5.68181818181818
"802",4.4,4.8,5.68181818181818
"803",4.4,5,5.68181818181818
"804",4.4,5.2,5.68181818181818
"805",4.4,5.4,5.68181818181818
"806",4.4,5.6,5.68181818181818
"807",4.4,5.8,5.68181818181818
"808",4.4,6,5.68181818181818
"809",4.4,6.2,5.68181818181818
"810",4.4,6.4,5.68181818181818
"811",4.4,6.6,5.68181818181818
"812",4.4,6.8,4.54545454545454
"813",4.4,7,4.54545454545454
"814",4.4,7.2,4.54545454545454
"815",4.4,7.4,4.54545454545454
"816",4.4,7.6,4.54545454545454
"817",4.4,7.8,4.54545454545454
"818",4.4,8,4.54545454545454
"819",4.4,8.2,4.54545454545454
"820",4.4,8.4,4.54545454545454
"821",4.4,8.6,4.54545454545454
"822",4.4,8.8,4.54545454545454
"823",4.4,9,4.54545454545454
